index,filename,source_relative_path,file_ext,mime_type,file_size_kb,status,warnings,quality_status,quality_score,quality_issues,ocr_success,ocr_confidence,ocr_text_length,ocr_text_quality_status,ocr_text_quality_score,ocr_source,best_ocr_variant,best_psm,medical_ok,relevance_score,document_type,document_type_confidence,common_field_count,lab_result_count,patient_name_found,date_found,age_found,sex_found,doctor_found,text_relative_path,json_relative_path,source_preview
11,20260427_181636.jpg,samples/selected samples/20260427_181636.jpg,.jpg,image/jpeg,38.7,needs_manual_review,missing_or_weak_common_fields,good_quality,0.638,,True,0.641,310,usable_noisy_text,0.327,image_ocr_variants,mild_contrast_rot90,6.0,True,1.0,lab,0.6,2,4,False,False,False,False,False,notebook_outputs/selected_samples_v6/texts/0011_20260427_181636.txt,notebook_outputs/selected_samples_v6/json/0011_20260427_181636.json,notebook_outputs/selected_samples_v6/source_previews/0011_20260427_181636.png
12,20260427_181654.jpg,samples/selected samples/20260427_181654.jpg,.jpg,image/jpeg,36.8,needs_manual_review,low_structured_data,needs_preprocessing,0.49,,True,0.634,296,usable_noisy_text,0.343,image_ocr_variants,mild_contrast_rot90,6.0,True,1.0,lab,1.0,2,2,False,False,False,False,True,notebook_outputs/selected_samples_v6/texts/0012_20260427_181654.txt,notebook_outputs/selected_samples_v6/json/0012_20260427_181654.json,notebook_outputs/selected_samples_v6/source_previews/0012_20260427_181654.png
13,20260427_181713.jpg,samples/selected samples/20260427_181713.jpg,.jpg,image/jpeg,44.24,ocr_unreliable_needs_reupload,ocr_text_quality=gibberish_text,good_quality,0.771,,True,0.71,199,gibberish_text,0.202,image_ocr_variants,original_oriented_rot90,11.0,True,1.0,lab,0.4,2,2,False,False,False,False,True,notebook_outputs/selected_samples_v6/texts/0013_20260427_181713.txt,notebook_outputs/selected_samples_v6/json/0013_20260427_181713.json,notebook_outputs/selected_samples_v6/source_previews/0013_20260427_181713.png
14,20260427_181919.jpg,samples/selected samples/20260427_181919.jpg,.jpg,image/jpeg,58.18,needs_manual_review,missing_or_weak_common_fields,good_quality,0.765,,True,0.74,437,good_text,0.598,image_ocr_variants,original_oriented_rot90,11.0,True,1.0,lab,0.8,3,6,False,False,False,False,True,notebook_outputs/selected_samples_v6/texts/0014_20260427_181919.txt,notebook_outputs/selected_samples_v6/json/0014_20260427_181919.json,notebook_outputs/selected_samples_v6/source_previews/0014_20260427_181919.png
15,۲۰۲۶۰۴۲۵_۲۲۰۷۰۰.jpg,samples/selected samples/۲۰۲۶۰۴۲۵_۲۲۰۷۰۰.jpg,.jpg,image/jpeg,148.64,extracted_good,,good_quality,0.786,possible_rotation_or_sideways,True,0.713,1586,good_text,0.877,image_ocr_variants,light_sharpen,11.0,True,1.0,lab,1.0,3,27,False,False,False,False,False,notebook_outputs/selected_samples_v6/texts/0015_۲۰۲۶۰۴۲۵_۲۲۰۷۰۰.txt,notebook_outputs/selected_samples_v6/json/0015_۲۰۲۶۰۴۲۵_۲۲۰۷۰۰.json,notebook_outputs/selected_samples_v6/source_previews/0015_۲۰۲۶۰۴۲۵_۲۲۰۷۰۰.png
16,۲۰۲۶۰۴۲۸_۱۵۰۰۳۶.jpg,samples/selected samples/۲۰۲۶۰۴۲۸_۱۵۰۰۳۶.jpg,.jpg,image/jpeg,67.78,needs_manual_review,missing_or_weak_common_fields,good_quality,0.84,,True,0.562,1210,good_text,0.824,image_ocr_variants,mild_contrast,11.0,True,1.0,lab,1.0,2,15,False,False,False,False,False,notebook_outputs/selected_samples_v6/texts/0016_۲۰۲۶۰۴۲۸_۱۵۰۰۳۶.txt,notebook_outputs/selected_samples_v6/json/0016_۲۰۲۶۰۴۲۸_۱۵۰۰۳۶.json,notebook_outputs/selected_samples_v6/source_previews/0016_۲۰۲۶۰۴۲۸_۱۵۰۰۳۶.png
17,۲۰۲۶۰۴۲۸_۱۵۰۰۵۱.jpg,samples/selected samples/۲۰۲۶۰۴۲۸_۱۵۰۰۵۱.jpg,.jpg,image/jpeg,41.77,needs_manual_review,unknown_document_type,needs_preprocessing,0.523,severe_blur,True,0.261,1147,usable_noisy_text,0.345,image_ocr_variants,threshold_fallback,6.0,True,0.25,unknown_medical,0.0,0,1,False,False,False,False,False,notebook_outputs/selected_samples_v6/texts/0017_۲۰۲۶۰۴۲۸_۱۵۰۰۵۱.txt,notebook_outputs/selected_samples_v6/json/0017_۲۰۲۶۰۴۲۸_۱۵۰۰۵۱.json,notebook_outputs/selected_samples_v6/source_previews/0017_۲۰۲۶۰۴۲۸_۱۵۰۰۵۱.png
18,۲۰۲۶۰۴۲۸_۱۵۰۱۰۶.jpg,samples/selected samples/۲۰۲۶۰۴۲۸_۱۵۰۱۰۶.jpg,.jpg,image/jpeg,56.83,needs_manual_review,missing_or_weak_common_fields,good_quality,0.77,,True,0.445,1015,good_text,0.624,image_ocr_variants,light_sharpen,11.0,True,1.0,lab,0.4,1,8,False,False,False,False,False,notebook_outputs/selected_samples_v6/texts/0018_۲۰۲۶۰۴۲۸_۱۵۰۱۰۶.txt,notebook_outputs/selected_samples_v6/json/0018_۲۰۲۶۰۴۲۸_۱۵۰۱۰۶.json,notebook_outputs/selected_samples_v6/source_previews/0018_۲۰۲۶۰۴۲۸_۱۵۰۱۰۶.png
19,۲۰۲۶۰۴۲۸_۱۵۰۱۲۰.jpg,samples/selected samples/۲۰۲۶۰۴۲۸_۱۵۰۱۲۰.jpg,.jpg,image/jpeg,53.32,needs_manual_review,low_structured_data,good_quality,0.849,,True,0.481,536,usable_noisy_text,0.321,image_ocr_variants,threshold_fallback,11.0,True,0.75,lab,0.4,0,1,False,False,False,False,False,notebook_outputs/selected_samples_v6/texts/0019_۲۰۲۶۰۴۲۸_۱۵۰۱۲۰.txt,notebook_outputs/selected_samples_v6/json/0019_۲۰۲۶۰۴۲۸_۱۵۰۱۲۰.json,notebook_outputs/selected_samples_v6/source_previews/0019_۲۰۲۶۰۴۲۸_۱۵۰۱۲۰.png
20,۲۰۲۶۰۴۲۸_۱۵۰۲۲۸.jpg,samples/selected samples/۲۰۲۶۰۴۲۸_۱۵۰۲۲۸.jpg,.jpg,image/jpeg,123.56,needs_manual_review,missing_or_weak_common_fields,good_quality,0.849,,True,0.48,587,usable_noisy_text,0.45,image_ocr_variants,original_oriented_rot90,11.0,True,0.25,lab,0.2,0,4,False,False,False,False,False,notebook_outputs/selected_samples_v6/texts/0020_۲۰۲۶۰۴۲۸_۱۵۰۲۲۸.txt,notebook_outputs/selected_samples_v6/json/0020_۲۰۲۶۰۴۲۸_۱۵۰۲۲۸.json,notebook_outputs/selected_samples_v6/source_previews/0020_۲۰۲۶۰۴۲۸_۱۵۰۲۲۸.png
